,school_name,overall_rank,rank_public,us_public_rank,rank_diff
88,"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",89,30.0,22.0,67.0
80,"Department of Economics, Tulane UniversityNew Orleans, Louisiana (USA)",81,19.0,15.0,66.0
75,"Department of Economics, University of Illinois at ChicagoChicago, Illinois (USA)",76,63.0,35.0,41.0
108,"Department of Economics, School of Business, University of MiamiCoral Gables, Florida (USA)",109,173.0,85.0,24.0
107,"Economics Department, University of FloridaGainesville, Florida (USA)",108,191.0,90.0,18.0
44,"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,45.0,27.0,18.0
76,"Department of Economics, Rice UniversityHouston, Texas (USA)",77,115.0,60.0,17.0
17,"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",18,5.0,5.0,13.0
64,"Department of Economics, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",65,102.0,56.0,9.0
18,"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",19,13.0,10.0,9.0
26,"Department of Economics, Cornell UniversityIthaca, New York (USA)",27,27.0,21.0,6.0
13,"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",14,8.0,8.0,6.0
71,"Department of Economics, Florida State UniversityTallahassee, Florida (USA)",72,126.0,67.0,5.0
22,"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",23,22.0,18.0,5.0
49,"Division of Social Sciences, California Institute of TechnologyPasadena, California (USA)",50,88.0,47.0,3.0
2,"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,1.0,1.0,2.0
24,"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",25,39.0,24.0,1.0
78,"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",79,160.0,79.0,0.0
65,"Economics Department, University of RochesterRochester, New York (USA)",66,125.0,66.0,0.0
1,"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,4.0,4.0,-2.0
0,"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,3.0,3.0,-2.0
36,"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",37,75.0,41.0,-4.0
12,"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",13,21.0,17.0,-4.0
94,"Department of Economics, University of Texas-DallasDallas, Texas (USA)",95,215.0,99.0,-4.0
6,"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",7,14.0,11.0,-4.0
69,"Department of Economics, University of California-RiversideRiverside, California (USA)",70,146.0,76.0,-6.0
55,"Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",56,120.0,63.0,-7.0
25,"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",26,61.0,34.0,-8.0
3,"Department of Economics, University of ChicagoChicago, Illinois (USA)",4,15.0,12.0,-8.0
5,"Department of Economics, Stanford UniversityStanford, California (USA)",6,18.0,14.0,-8.0
23,"Department of Economics, Duke UniversityDurham, North Carolina (USA)",24,58.0,33.0,-9.0
62,"Department of Economics, Tufts UniversityMedford, Massachusetts (USA)",63,145.0,75.0,-12.0
42,"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",43,101.0,55.0,-12.0
10,"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,36.0,23.0,-12.0
30,"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",31,81.0,44.0,-13.0
79,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",80,199.0,93.0,-13.0
56,"Department of Economics, Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",57,131.0,70.0,-13.0
14,"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",15,48.0,29.0,-14.0
91,"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",92,237.0,108.0,-16.0
47,"Economics Department, Williams CollegeWilliamstown, Massachusetts (USA)",48,123.0,65.0,-17.0
32,"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",33,91.0,50.0,-17.0
28,"Department of Economics, University of California-IrvineIrvine, California (USA)",29,89.0,48.0,-19.0
9,"Department of Economics, New York University (NYU)New York City, New York (USA)",10,56.0,32.0,-22.0
11,"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",12,66.0,37.0,-25.0
4,"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",5,51.0,31.0,-26.0
53,"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",54,163.0,81.0,-27.0
40,"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",41,133.0,72.0,-31.0
7,"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",8,86.0,46.0,-38.0
51,"Economics Department, George Mason UniversityFairfax, Virginia (USA)",52,193.0,91.0,-39.0
59,"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",60,220.0,101.0,-41.0
20,"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",21,121.0,64.0,-43.0
37,"Department of Economics, University of VirginiaCharlottesville, Virginia (USA)",38,168.0,83.0,-45.0
31,"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",32,157.0,78.0,-46.0
38,"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",39,181.0,88.0,-49.0
34,"Department of Economics, University of Notre DameSouth Bend, Indiana (USA)",35,178.0,87.0,-52.0
43,"Department of Economics, University of WashingtonSeattle, Washington (USA)",44,209.0,96.0,-52.0
19,"Economics Department, University of California-DavisDavis, California (USA)",20,155.0,77.0,-57.0
8,"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",9,127.0,68.0,-59.0
39,"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,223.0,103.0,-63.0
16,"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",17,221.0,102.0,-85.0
15,"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",16,,,
21,"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",22,,,
27,"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,,,
29,"Department of Economics, Pennsylvania State UniversityState College, Pennsylvania (USA)",30,,,
33,"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",34,,,
35,"Department of Economics, University of Texas-AustinAustin, Texas (USA)",36,,,
41,"Department of Economics, University of ColoradoBoulder, Colorado (USA)",42,,,
45,"Department of Economics, George Washington UniversityWashington, District of Columbia (USA)",46,,,
46,"Department of Economics, Texas A&M UniversityCollege Station, Texas (USA)",47,,,
48,"Department of Economics, University of PittsburghPittsburgh, Pennsylvania (USA)",49,,,
50,"Department of Economics, Iowa State UniversityAmes, Iowa (USA)",51,,,
52,"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",53,,,
54,"Department of Economics, University of OregonEugene, Oregon (USA)",55,,,
57,"Department of Economics, University of ConnecticutStorrs, Connecticut (USA)",58,,,
58,"Department of Economics, Emory UniversityAtlanta, Georgia (USA)",59,,,
60,"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",61,,,
61,"Department of Economics, Krannert School of Management, Purdue UniversityWest Lafayette, Indiana (USA)",62,,,
63,"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",64,,,
66,"Department of Economics, University of HoustonHouston, Texas (USA)",67,,,
67,"Economics Department, University of MissouriColumbia, Missouri (USA)",68,,,
68,"Department of Economics, Maxwell School, Syracuse UniversitySyracuse, New York (USA)",69,,,
70,"Department of Economics, University of North Carolina-Chapel-HillChapel Hill, North Carolina (USA)",71,,,
72,"Department of Economics, College of Business, University of WyomingLaramie, Wyoming (USA)",73,,,
73,"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",74,,,
74,"Department of Economics, Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",75,,,
77,"Department of Economics, Terry College of Business, University of GeorgiaAthens, Georgia (USA)",78,,,
81,"Department of Economics, Southern Methodist UniversityDallas, Texas (USA)",82,,,
82,"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",83,,,
83,"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",84,,,
84,"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",85,,,
85,"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",86,,,
86,"Department of Economics, State University of New York-Binghamton (SUNY)Binghamton, New York (USA)",87,,,
87,"Economics Department, University of WisconsinMilwaukee, Wisconsin (USA)",88,,,
89,"Department of Economics, University of KansasLawrence, Kansas (USA)",90,,,
90,"Department of Economics, American UniversityWashington, District of Columbia (USA)",91,,,
92,"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",93,,,
93,"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",94,,,
95,"Department of Economics, Brigham Young UniversityProvo, Utah (USA)",96,,,
96,"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",97,,,
97,"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",98,,,
98,"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",99,,,
99,"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",100,,,
100,"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",101,,,
101,"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",102,,,
102,"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",103,,,
103,"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",104,,,
104,"Department of Economics, University of California-MercedMerced, California (USA)",105,,,
105,"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",106,,,
106,"Department of Economics, College of Business and Economics, West Virginia UniversityMorgantown, West Virginia (USA)",107,,,
109,"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",110,,,
110,"Economics Department, Darla Moore School of Business, University of South CarolinaColumbia, South Carolina (USA)",111,,,
111,"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",112,,,
112,"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",113,,,
113,"Economics Department, Barnard College, Columbia UniversityNew York City, New York (USA)",114,,,
114,"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",115,,,
115,"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",116,,,
116,"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",117,,,
117,"Department of Economics, College of Business, University of Tennessee-KnoxvilleKnoxville, Tennessee (USA)",118,,,
118,"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",119,,,
119,"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",120,,,
120,"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",121,,,
121,"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",122,,,
122,"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,,,
123,"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",124,,,
124,"Economics Department, University of RichmondRichmond, Virginia (USA)",125,,,
125,"Department of Economics, Colgate UniversityHamilton, New York (USA)",126,,,
126,"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",127,,,
127,"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",128,,,
128,"Department of Economics, Hankamer School of Business, Baylor UniversityWaco, Texas (USA)",129,,,
129,"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",130,,,
130,"Economics Department, University of Maryland-Baltimore CountyBaltimore, Maryland (USA)",131,,,
131,"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",132,,,
132,"Department of Economics, Florida International UniversityMiami, Florida (USA)",133,,,
133,"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",134,,,
134,"Economics Department, Amherst CollegeAmherst, Massachusetts (USA)",135,,,
135,"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",136,,,
